40:1:1|1|biblos|G976
40:1:1|2|genesews|G1078
40:1:1|3|ihsou|G2424
40:1:1|4|cristou|G5547
40:1:1|5|uiou|G5207
40:1:1|6|daueid|G1138
40:1:1|7|uiou|G5207
40:1:1|8|abraam|G11
40:1:2|1|abraam|G11
40:1:2|2|egennhsen|G1080
40:1:2|3|ton|G3588
40:1:2|4|isaak|G2464
40:1:2|5|isaak|G2464
40:1:2|6|de|G1161
40:1:2|7|egennhsen|G1080
40:1:2|8|ton|G3588
40:1:2|9|iakwb|G2384
40:1:2|10|iakwb|G2384
40:1:2|11|de|G1161
40:1:2|12|egennhsen|G1080
40:1:2|13|ton|G3588
40:1:2|14|ioudan|G2455
40:1:2|15|kai|G2532
40:1:2|16|tous|G3588
40:1:2|17|adelfous|G80
40:1:2|18|autou|G846
40:1:3|1|ioudas|G2455
40:1:3|2|de|G1161
40:1:3|3|egennhsen|G1080
40:1:3|4|ton|G3588
40:1:3|5|fares|G5329
40:1:3|6|kai|G2532
40:1:3|7|ton|G3588
40:1:3|8|zara|G2196
40:1:3|9|ek|G1537
40:1:3|10|ths|G3588
40:1:3|11|qamar|G2283
40:1:3|12|fares|G5329
40:1:3|13|de|G1161
40:1:3|14|egennhsen|G1080
40:1:3|15|ton|G3588
40:1:3|16|esrwm|G2074
40:1:3|17|esrwm|G2074
40:1:3|18|de|G1161
40:1:3|19|egennhsen|G1080
40:1:3|20|ton|G3588
40:1:3|21|aram|G689
40:1:4|1|aram|G689
40:1:4|2|de|G1161
40:1:4|3|egennhsen|G1080
40:1:4|4|ton|G3588
40:1:4|5|aminadab|G284
40:1:4|6|aminadab|G284
40:1:4|7|de|G1161
40:1:4|8|egennhsen|G1080
40:1:4|9|ton|G3588
40:1:4|10|naasswn|G3476
40:1:4|11|naasswn|G3476
40:1:4|12|de|G1161
40:1:4|13|egennhsen|G1080
40:1:4|14|ton|G3588
40:1:4|15|salmwn|G4533
40:1:5|1|salmwn|G4533
40:1:5|2|de|G1161
40:1:5|3|egennhsen|G1080
40:1:5|4|ton|G3588
40:1:5|5|boes|G1003
40:1:5|6|ek|G1537
40:1:5|7|ths|G3588
40:1:5|8|racab|G4477
40:1:5|9|boes|G1003
40:1:5|10|de|G1161
40:1:5|11|egennhsen|G1080
40:1:5|12|ton|G3588
40:1:5|13|iwbhd|G5601
40:1:5|14|ek|G1537
40:1:5|15|ths|G3588
40:1:5|16|rouq|G4503
40:1:5|17|iwbhd|G5601
40:1:5|18|de|G1161
40:1:5|19|egennhsen|G1080
40:1:5|20|ton|G3588
40:1:5|21|iessai|G2421
40:1:6|1|iessai|G2421
40:1:6|2|de|G1161
40:1:6|3|egennhsen|G1080
40:1:6|4|ton|G3588
40:1:6|5|daueid|G1138
40:1:6|6|ton|G3588
40:1:6|7|basilea|G935
40:1:6|8|daueid|G1138
40:1:6|9|de|G1161
40:1:6|10|egennhsen|G1080
40:1:6|11|ton|G3588
40:1:6|12|solomwna|G4672
40:1:6|13|ek|G1537
40:1:6|14|ths|G3588
40:1:6|15|tou|G3588
40:1:6|16|ouriou|G3774
40:1:7|1|solomwn|G4672
40:1:7|2|de|G1161
40:1:7|3|egennhsen|G1080
40:1:7|4|ton|G3588
40:1:7|5|roboam|G4497
40:1:7|6|roboam|G4497
40:1:7|7|de|G1161
40:1:7|8|egennhsen|G1080
40:1:7|9|ton|G3588
40:1:7|10|abia|G7
40:1:7|11|abia|G7
40:1:7|12|de|G1161
40:1:7|13|egennhsen|G1080
40:1:7|14|ton|G3588
40:1:7|15|asaf|G760
40:1:8|1|asaf|G760
40:1:8|2|de|G1161
40:1:8|3|egennhsen|G1080
40:1:8|4|ton|G3588
40:1:8|5|iwsafat|G2498
40:1:8|6|iwsafat|G2498
40:1:8|7|de|G1161
40:1:8|8|egennhsen|G1080
40:1:8|9|ton|G3588
40:1:8|10|iwram|G2496
40:1:8|11|iwram|G2496
40:1:8|12|de|G1161
40:1:8|13|egennhsen|G1080
40:1:8|14|ton|G3588
40:1:8|15|ozeian|G3604
40:1:9|1|ozeias|G3604
40:1:9|2|de|G1161
40:1:9|3|egennhsen|G1080
40:1:9|4|ton|G3588
40:1:9|5|iwaqam|G2488
40:1:9|6|iwaqam|G2488
40:1:9|7|de|G1161
40:1:9|8|egennhsen|G1080
40:1:9|9|ton|G3588
40:1:9|10|acaz|G881
40:1:9|11|acaz|G881
40:1:9|12|de|G1161
40:1:9|13|egennhsen|G1080
40:1:9|14|ton|G3588
