1:1:1|2|brewit|H7225
1:1:1|3|bre|H1254
1:1:1|4|elhim|H430
1:1:1|5|et|H853
1:1:1|6|hwmim|H8064
1:1:1|7|vet|H853
1:1:1|8|herz|H776
1:1:2|2|vherz|H776
1:1:2|3|hith|H1961
1:1:2|4|thv|H8414
1:1:2|5|vbhv|H922
1:1:2|6|vkwc|H2822
1:1:2|7|al|H5921
1:1:2|8|fni|H6440
1:1:2|9|thvm|H8415
1:1:2|10|vrvk|H7307
1:1:2|11|elhim|H430
1:1:2|12|mrkft|H7363
1:1:2|13|al|H5921
1:1:2|14|fni|H6440
1:1:2|15|hmim|H4325
1:1:3|2|viemr|H559
1:1:3|3|elhim|H430
1:1:3|4|ihi|H1961
1:1:3|5|evr|H216
1:1:3|6|vihi|H1961
1:1:3|7|evr|H216
1:1:4|2|vire|H7200
1:1:4|3|elhim|H430
1:1:4|4|et|H853
1:1:4|5|hevr|H216
1:1:4|6|ci|H3588
1:1:4|7|pvb|H2896
1:1:4|8|vibdl|H914
1:1:4|9|elhim|H430
1:1:4|10|bin|H996
1:1:4|11|hevr|H216
1:1:4|12|vbin|H996
1:1:4|13|hkwc|H2822
1:1:5|2|viqre|H7121
1:1:5|4|levr|H216
1:1:5|5|ivm|H3117
1:1:5|6|vlkwc|H2822
1:1:5|7|qre|H7121
1:1:5|8|lilh|H3915
1:1:5|9|vihi|H1961
1:1:5|10|arb|H6153
1:1:5|11|vihi|H1961
1:1:5|12|bqr|H1242
1:1:5|13|ivm|H3117
1:1:5|14|ekd|H259
1:1:5|15|f|HUNK
1:1:6|2|viemr|H559
1:1:6|3|elhim|H430
1:1:6|4|ihi|H1961
1:1:6|5|rqia|H7549
1:1:6|6|btvc|H8432
1:1:6|7|hmim|H4325
1:1:6|8|vihi|H1961
1:1:6|9|mbdil|H914
1:1:6|10|bin|H996
1:1:6|11|mim|H4325
1:1:6|12|lmim|H4325
1:1:7|2|viaw|H6213
1:1:7|3|elhim|H430
1:1:7|4|et|H853
1:1:7|5|hrqia|H7549
1:1:7|6|vibdl|H914
1:1:7|7|bin|H996
